Model,RMSE,R2,MAE,Time (s)
GBM,0.13561029784432393,0.9014519293827523,15857.45341669696,3.5115201473236084
XGBoost,0.14313015666208923,0.8902195315452159,15733.24165239727,1.4066736698150635
LightGBM,0.13696613096944033,0.8994715092900989,16180.033919597287,0.6810908317565918
CatBoost,0.13273496058892337,0.9055866436603903,15761.84639549307,1.3946666717529297
Voting Ensemble,0.1332517850037577,0.9048499858398406,15355.522183951449,7.015338659286499
